Test.data,Classifier,Feature.Selection,Features,Additional.Information,Discretisation.method,Discretisation.width.number,Number.of.features,AUC,fscore2,precision,recall,Features
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.5,8,0.49,0.21,0.19,0.23,"IH_mode_0.5, GLSZM_HILAE_0.5, IVH_RVRI_60_0.5, Metastasis, Age, Histology, Shape_volumeDensityBB_0.5, GLDZM_DZNN_0.5"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.2,6,0.53,0.26,0.21,0.28,"IH_maxGrad_0.2, Age, GLDZM_DZNN_0.2, Metastasis, Histology, IVH_RVRI_60_0.2"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.1,9,0.53,0.25,0.19,0.27,"IVH_RVRI_40_0.1, NGTDM_coarseness_0.1, Shape_elongation_0.1, GLCM_infoCorr2_0.1, Age, GLDZM_DZNN_0.1, Metastasis, Histology, IVH_RVRI_60_0.1"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.05,4,0.54,0.22,0.15,0.25,"GLCM_energy_0.05, Metastasis, Histology, IVH_RVRI_60_0.05"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBN,64,6,0.51,0.22,0.16,0.24,"GLDZM_DZNN_64, IH_energy_64, Age, Metastasis, Histology, IVH_RVRI_60_64"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Clinical,FBN,32,1,0.68,0.5,0.29,0.62,IVH_RVRI_60_32
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.5,6,0.38,0.16,0.1,0.19,"GLSZM_HILAE_0.5, GLCM_clusShade_0.5, IVH_RVRI_20_0.5, IH_mode_0.5, Shape_elongation_0.5, GLDZM_DZV_0.5"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.2,10,0.36,0.18,0.13,0.2,"IVH_RVRI_90_0.2, Shape_elongation_0.2, GLDZM_SDE_0.2, GLCM_clusShade_0.2, GLSZM_LILAE_0.2, IVH_RVRI_10_0.2, Stats_qcod_0.2, IH_maxGradI_0.2, Shape_areaDensityBB_0.2, Shape_maxDiameter3D_0.2"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.1,10,0.33,0.11,0.08,0.12,"IVH_RVRI_90_0.1, Shape_elongation_0.1, GLCM_infoCorr2_0.1, GLDZM_DZNN_0.1, GLCM_clusShade_0.1, IVH_RVRI_10_0.1, IH_mode_0.1, Stats_qcod_0.1, Shape_areaDensityBB_0.1, Shape_maxDiameter3D_0.1"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.05,8,0.41,0.16,0.11,0.19,"Shape_areaDensityBB_0.05, IVH_AVRI_20_0.05, Shape_elongation_0.05, Stats_qcod_0.05, IH_mode_0.05, GLCM_clusShade_0.05, IVH_RVRI_10_0.05, Shape_maxDiameter3D_0.05"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBN,64,4,0.46,0.19,0.15,0.21,"GLDZM_HILDE_64, IVH_RVRI_40_64, Shape_areaDensityBB_64, Shape_maxDiameter3D_64"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Interpolation,FBN,32,9,0.49,0.14,0.11,0.16,"Shape_areaDensityBB_32, GLCM_infoCorr2_32, Stats_min_32, Stats_qcod_32, GLCM_energy_32, Shape_elongation_32, IVH_RVRI_10_32, GLDZM_LILDE_32, Shape_maxDiameter3D_32"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.5,7,0.49,0.25,0.17,0.3,"IVH_RVRI_70_0.5, GLSZM_HILAE_0.5, GLDZM_SDE_0.5, IH_mode_0.5, Shape_elongation_0.5, Fractal_average_0.5, GLDZM_DZNN_0.5"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.2,4,0.55,0.28,0.2,0.31,"IVH_RVRI_40_0.2, NGLDM_LGLDE_0.2, Shape_volumeDensityBB_0.2, GLDZM_DZNN_0.2"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.1,1,0.41,0.29,0.15,0.38,GLDZM_DZNN_0.1
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.05,6,0.47,0.29,0.24,0.32,"NGTDM_busyness_0.05, IVH_RVRI_70_0.05, IH_mode_0.05, Shape_volumeDensityBB_0.05, GLCM_diffAvrg_0.05, GLDZM_DZNN_0.05"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,64,9,0.43,0.19,0.15,0.21,"IVH_RVRI_40_64, GLDZM_HILDE_64, IVH_RVRI_10_64, IH_maxGrad_64, Shape_volumeDensityBB_64, IVH_RVRI_70_64, GLCM_clusTend_64, IVH_AIRV_30_64, GLDZM_DZNN_64"
Mix,RF,Forward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,32,8,0.45,0.27,0.2,0.31,"IVH_RVRI_70_32, IH_maxGrad_32, GLCM_energy_32, Shape_volumeDensityBB_32, IVH_RVRI_40_32, IVH_AIRV_30_32, NGLDM_HGLDE_32, GLDZM_DZNN_32"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,9,0.7,0.37,0.32,0.4,"GLCM_clusShade_0.5, Shape_volumeDensityBB_0.5, GLSZM_HILAE_0.5, IVH_AVRI_90_0.5, Age, GLDZM_DZN_0.5, Metastasis, Histology, IVH_RVRI_50_0.5"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,7,0.46,0.26,0.22,0.28,"Shape_leastaxislength_0.2, Age, GLSZM_SZN_0.2, Metastasis, IH_skewness_0.2, Histology, IVH_RVRI_50_0.2"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,8,0.57,0.33,0.24,0.38,"IVH_RVRI_40_0.1, Age, Shape_leastaxislength_0.1, GLDZM_DZNN_0.1, GLCM_infoCorr2_0.1, Metastasis, Histology, IVH_RVRI_50_0.1"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,4,0.67,0.49,0.28,0.61,"Metastasis, Histology, GLCM_infoCorr2_0.05, IVH_RVRI_50_0.05"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,10,0.56,0.28,0.3,0.29,"IVH_AIRV_30_64, IVH_RVRI_40_64, Shape_areaDensityBB_64, IH_p90_64, GLDZM_DZNN_64, Age, GLCM_sumSquares_64, Metastasis, Histology, IVH_RVRI_50_64"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,9,0.53,0.2,0.16,0.22,"IH_p90_32, IVH_TLGRI_30_32, NGTDM_strength_32, Age, Shape_volumeDensityBE_32, GLCM_sumSquares_32, Metastasis, Histology, IVH_RVRI_50_32"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.5,1,0.38,0.21,0.11,0.27,GLCM_infoCorr2_0.5
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.2,5,0.63,0.41,0.28,0.48,"GLCM_maxCorr_0.2, GLCM_clusShade_0.2, Shape_leastaxislength_0.2, IVH_TLGRI_80_0.2, GLDZM_DZE_0.2"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.1,5,0.44,0.29,0.18,0.34,"GLCM_infoCorr2_0.1, IH_kurtosis_0.1, Shape_volumeDensityBB_0.1, NGTDM_strength_0.1, GLDZM_LDE_0.1"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.05,3,0.45,0.13,0.08,0.16,"NGTDM_strength_0.05, Shape_flatness_0.05, GLDZM_LDE_0.05"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,64,7,0.53,0.35,0.25,0.4,"Fractal_average_64, IH_skewness_64, IH_p90_64, Shape_volumeDensityBB_64, GLCM_clusTend_64, Stats_range_64, GLDZM_DZV_64"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,32,8,0.46,0.26,0.19,0.29,"Shape_volumeDensityBE_32, Stats_skewness_32, IH_p90_32, GLDZM_DZNN_32, Shape_maxDiameter2D2_32, NGTDM_strength_32, Stats_medianD_32, NGLDM_DV_32"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.5,10,0.51,0.26,0.17,0.3,"Stats_kurtosis_0.5, GLCM_clusShade_0.5, NGLDM_LGSDE_0.5, GLSZM_SZN_0.5, IVH_TLGRI_80_0.5, IH_skewness_0.5, IVH_RVRI_20_0.5, GLSZM_LISAE_0.5, NGLDM_SM_0.5, GLCM_entrop2_0.5"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.2,5,0.49,0.28,0.2,0.32,"GLDZM_SDE_0.2, GLCM_infoCorr2_0.2, Fractal_sd_0.2, IH_skewness_0.2, NGLDM_DN_0.2"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.1,2,0.45,0.32,0.21,0.38,"Fractal_sd_0.1, GLDZM_DZNN_0.1"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.05,1,0.44,0.27,0.16,0.32,GLDZM_DZNN_0.05
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,64,8,0.49,0.32,0.22,0.38,"Stats_medianD_64, IVH_RVRI_10_64, IH_var_64, GLDZM_DZNN_64, IVH_TLGRI_80_64, IH_skewness_64, Stats_std_64, IH_maxGrad_64"
Mix,RF,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,32,5,0.55,0.38,0.29,0.42,"GLSZM_HILAE_32, IH_p90_32, Shape_volumeDensityBE_32, Stats_range_32, GLDZM_SDE_32"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.5,4,0.62,0.46,0.27,0.57,"Age, Histology, Metastasis, GLDZM_DZNN_0.5"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.2,10,0.5,0.2,0.15,0.23,"Age, Histology, Metastasis, GLDZM_DZV_0.2, IVH_RVRI_10_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, IVH_RVRI_70_0.2, Shape_elongation_0.2, Shape_volumeDensityBB_0.2"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.1,10,0.49,0.2,0.15,0.22,"Age, Histology, Metastasis, GLDZM_DZNN_0.1, IVH_RVRI_10_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, IVH_RVRI_70_0.1, Shape_elongation_0.1, Shape_volumeDensityBB_0.1"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBW,0.05,9,0.45,0.17,0.12,0.19,"Age, Histology, Metastasis, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, IVH_RVRI_70_0.05, IVH_RVRI_80_0.05, IVH_RVRI_90_0.05, Shape_elongation_0.05"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBN,64,8,0.55,0.23,0.19,0.25,"Age, Histology, Metastasis, GLDZM_DZNN_64, IVH_RVRI_60_64, IVH_RVRI_70_64, Shape_elongation_64, Stats_qcod_64"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Clinical,FBN,32,6,0.68,0.38,0.31,0.43,"Age, Histology, Metastasis, GLDZM_DZNN_32, Shape_elongation_32, Stats_qcod_32"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.5,2,0.58,0.29,0.18,0.35,"Shape_areaDensityBB_0.5, Shape_elongation_0.5"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.2,5,0.6,0.34,0.22,0.4,"IVH_RVRI_10_0.2, IVH_RVRI_20_0.2, Shape_areaDensityBB_0.2, Shape_elongation_0.2, Shape_volumeDensityBB_0.2"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.1,5,0.6,0.34,0.22,0.4,"IVH_RVRI_10_0.1, IVH_RVRI_20_0.1, Shape_areaDensityBB_0.1, Shape_elongation_0.1, Shape_volumeDensityBB_0.1"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBW,0.05,2,0.58,0.29,0.18,0.35,"Shape_areaDensityBB_0.05, Shape_elongation_0.05"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBN,64,5,0.64,0.39,0.25,0.46,"IVH_RVRI_10_64, IVH_RVRI_30_64, Shape_areaDensityBB_64, Shape_elongation_64, Shape_volumeDensityBB_64"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Interpolation,FBN,32,3,0.62,0.35,0.21,0.43,"Shape_areaDensityBB_32, Shape_elongation_32, Shape_volumeDensityBB_32"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.5,9,0.51,0.27,0.19,0.3,"GLDZM_DZNN_0.5, GLDZM_DZV_0.5, GLDZM_LDE_0.5, GLDZM_SDE_0.5, IVH_RVRI_10_0.5, IVH_RVRI_60_0.5, IVH_RVRI_70_0.5, Shape_surfVolRatio_0.5, Shape_volumeDensityBB_0.5"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.2,5,0.47,0.15,0.1,0.17,"GLDZM_DZNN_0.2, GLDZM_DZV_0.2, IVH_RVRI_10_0.2, IVH_RVRI_60_0.2, IVH_RVRI_70_0.2"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.1,1,0.41,0.29,0.15,0.38,GLDZM_DZNN_0.1
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBW,0.05,1,0.5,0.32,0.18,0.4,GLDZM_DZNN_0.05
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,64,9,0.53,0.28,0.21,0.32,"GLDZM_DZNN_64, GLDZM_HILDE_64, GLDZM_SDE_64, IVH_RVRI_10_64, IVH_RVRI_70_64, Shape_elongation_64, Shape_volumeDensityBB_64, Stats_cov_64, Stats_qcod_64"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Combat harmonization,FBN,32,8,0.48,0.26,0.17,0.3,"GLCM_energy_32, GLDZM_DZNN_32, GLDZM_HILDE_32, GLDZM_LDE_32, GLDZM_SDE_32, IVH_RVRI_10_32, Shape_elongation_32, Stats_qcod_32"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,6,0.5,0.28,0.2,0.32,"Age, Histology, Metastasis, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, Shape_volumeDensityBB_0.5"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,10,0.46,0.21,0.16,0.23,"Age, Histology, Metastasis, IH_skewness_0.2, IVH_RVRI_40_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, Shape_leastaxislength_0.2, Shape_volumeDensityBB_0.2, Stats_skewness_0.2"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,7,0.49,0.25,0.19,0.28,"Age, Histology, Metastasis, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, Shape_volumeDensityBB_0.1, Stats_skewness_0.1"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,7,0.54,0.35,0.23,0.41,"Age, Histology, Metastasis, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, NGTDM_strength_0.05, Shape_volumeDensityBE_0.05"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,4,0.63,0.42,0.29,0.48,"Age, Histology, Metastasis, Shape_volumeDensityBB_64"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,8,0.54,0.35,0.26,0.4,"Age, Histology, Metastasis, IH_skewness_32, NGTDM_strength_32, Shape_volumeDensityBB_32, Shape_volumeDensityBE_32, Stats_skewness_32"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.5,8,0.46,0.22,0.2,0.24,"GLCM_correl1_0.5, GLSZM_LISAE_0.5, IVH_RVRI_10_0.5, Shape_areaDensityBB_0.5, Shape_flatness_0.5, Shape_volumeDensityBB_0.5, Stats_kurtosis_0.5, Stats_skewness_0.5"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.2,10,0.49,0.28,0.19,0.33,"GLCM_clusShade_0.2, GLCM_infoCorr2_0.2, IH_kurtosis_0.2, IH_skewness_0.2, IVH_RVRI_10_0.2, Shape_flatness_0.2, Shape_leastaxislength_0.2, Shape_volumeDensityBB_0.2, Stats_kurtosis_0.2, Stats_skewness_0.2"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.1,1,0.42,0.22,0.11,0.29,Shape_volumeDensityBB_0.1
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBW,0.05,8,0.53,0.29,0.19,0.34,"Fractal_average_0.05, IH_kurtosis_0.05, IVH_AVRI_80_0.05, IVH_RVRI_10_0.05, NGTDM_strength_0.05, Shape_maxDiameter2D1_0.05, Shape_volumeDensityBE_0.05, Stats_kurtosis_0.05"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,64,2,0.43,0.29,0.14,0.41,"IH_minGradI_64, Shape_volumeDensityBB_64"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Interpolation,FBN,32,5,0.59,0.39,0.21,0.51,"NGTDM_strength_32, Shape_centroidDistance_32, Shape_elongation_32, Shape_flatness_32, Shape_maxDiameter3D_32"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.5,6,0.51,0.29,0.17,0.36,"Fractal_sd_0.5, IH_skewness_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, Shape_surfVolRatio_0.5, Stats_skewness_0.5"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.2,8,0.43,0.21,0.15,0.23,"GLDZM_LDE_0.2, GLDZM_SDE_0.2, GLSZM_SAE_0.2, IH_skewness_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, Stats_kurtosis_0.2, Stats_skewness_0.2"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.1,7,0.46,0.28,0.19,0.32,"GLCM_clusShade_0.1, GLDZM_DZNN_0.1, GLDZM_LDE_0.1, GLDZM_SDE_0.1, IH_skewness_0.1, IVH_RVRI_50_0.1, Stats_skewness_0.1"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBW,0.05,10,0.58,0.38,0.2,0.5,"GLCM_clusShade_0.05, GLCM_infoCorr2_0.05, IH_skewness_0.05, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, NGTDM_strength_0.05, Shape_areaDensityBE_0.05, Shape_centroidDistance_0.05, Shape_volumeDensityBE_0.05, Stats_skewness_0.05"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,64,5,0.49,0.32,0.16,0.42,"IH_skewness_64, Stats_iqr_64, Stats_medianD_64, Stats_qcod_64, Stats_skewness_64"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Combat harmonization,FBN,32,5,0.53,0.3,0.16,0.39,"IH_skewness_32, Shape_centroidDistance_32, Stats_cov_32, Stats_qcod_32, Stats_skewness_32"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.5,7,0.33,0.21,0.11,0.27,"IH_energy_0.5, GLCM_clusProm_0.5, GLCM_clusShade_0.5, GLSZM_SZV_0.5, IVH_RVRI_10_0.5, GLCM_contrast_0.5, GLSZM_LILAE_0.5"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.2,4,0.37,0.22,0.12,0.28,"IH_energy_0.2, GLCM_clusProm_0.2, GLSZM_LILAE_0.2, GLCM_clusShade_0.2"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.1,9,0.41,0.2,0.12,0.23,"IH_energy_0.1, GLCM_clusProm_0.1, GLSZM_LILAE_0.1, GLCM_clusShade_0.1, IVH_RVRI_10_0.1, GLCM_contrast_0.1, NGLDM_LGLDE_0.1, IVH_RVRI_20_0.1, Histology"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBW,0.05,4,0.38,0.21,0.12,0.26,"IH_energy_0.05, GLCM_clusProm_0.05, GLRLM_LRE_0.05, GLCM_clusShade_0.05"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBN,64,10,0.4,0.16,0.12,0.17,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Histology, Stats_var_64, NGTDM_contrast_64, Metastasis, NGTDM_busyness_64, GLSZM_LILAE_64, IVH_RVRI_80_64"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Clinical,FBN,32,1,0.39,0.2,0.13,0.24,IH_energy_32
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.5,8,0.32,0.15,0.09,0.18,"IH_energy_0.5, IVH_RVRI_10_0.5, GLCM_clusShade_0.5, GLCM_clusProm_0.5, GLSZM_LILAE_0.5, IVH_RVRI_20_0.5, NGTDM_complexity_0.5, GLRLM_LRLGE_0.5"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.2,5,0.28,0.16,0.09,0.2,"IH_energy_0.2, IVH_RVRI_10_0.2, GLCM_clusShade_0.2, GLCM_clusProm_0.2, GLSZM_LILAE_0.2"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.1,7,0.29,0.17,0.11,0.2,"IH_energy_0.1, IVH_RVRI_10_0.1, GLCM_clusShade_0.1, GLCM_clusProm_0.1, IVH_RVRI_20_0.1, GLSZM_LILAE_0.1, NGTDM_contrast_0.1"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBW,0.05,9,0.28,0.16,0.1,0.2,"IH_energy_0.05, GLSZM_LILAE_0.05, NGLDM_LGLDE_0.05, GLCM_clusShade_0.05, IVH_RVRI_10_0.05, GLCM_clusProm_0.05, GLSZM_LAE_0.05, NGTDM_contrast_0.05, GLSZM_SZV_0.05"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBN,64,10,0.51,0.3,0.21,0.35,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Stats_var_64, NGTDM_contrast_64, NGLDM_LGLDE_64, GLSZM_SZV_64, GLCM_energy_64, IVH_RVRI_30_64, IVH_RVRI_80_64"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Interpolation,FBN,32,1,0.32,0.17,0.1,0.21,IH_energy_32
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.5,10,0.38,0.25,0.15,0.3,"IH_entropy_0.5, IVH_RVRI_10_0.5, GLCM_clusShade_0.5, IVH_AVRI_90_0.5, GLSZM_LAE_0.5, IVH_RVRI_80_0.5, GLCM_clusProm_0.5, GLSZM_SZV_0.5, GLRLM_LRLGE_0.5, IVH_RVRI_20_0.5"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.2,8,0.35,0.22,0.15,0.25,"GLDZM_DZV_0.2, GLSZM_LILAE_0.2, GLCM_clusProm_0.2, IVH_RVRI_10_0.2, IVH_RVRI_80_0.2, GLCM_clusShade_0.2, IVH_AVRI_90_0.2, NGLDM_LGLDE_0.2"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.1,5,0.39,0.29,0.16,0.37,"GLDZM_LDE_0.1, GLSZM_LILAE_0.1, IVH_RVRI_10_0.1, GLCM_clusProm_0.1, IVH_RVRI_80_0.1"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBW,0.05,5,0.47,0.33,0.2,0.41,"GLDZM_LDE_0.05, GLSZM_LAE_0.05, GLCM_sumSquares_0.05, IVH_RVRI_10_0.05, IVH_RVRI_80_0.05"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBN,64,9,0.33,0.17,0.11,0.2,"GLDZM_DZNN_64, IVH_RVRI_10_64, Stats_var_64, Stats_skewness_64, NGTDM_contrast_64, IVH_RVRI_20_64, IVH_TLGRI_60_64, NGLDM_LGLDE_64, IVH_RVRI_80_64"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Combat harmonization,FBN,32,9,0.33,0.06,0.05,0.06,"GLRLM_LRLGE_32, IVH_RVRI_10_32, GLSZM_LILAE_32, IVH_TLGRI_60_32, IVH_RVRI_80_32, GLSZM_SZV_32, IVH_RVRI_20_32, Stats_var_32, GLCM_maxProb_32"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.5,8,0.67,0.23,0.2,0.24,"Age, GLSZM_HISAE_0.5, GLSZM_LISAE_0.5, IVH_RVRI_10_0.5, IVH_AVRI_90_0.5, GLCM_clusProm_0.5, GLSZM_LILAE_0.5, IVH_RVRI_90_0.5"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.2,9,0.75,0.44,0.4,0.46,"Age, Stats_skewness_0.2, GLSZM_HISAE_0.2, IVH_RVRI_10_0.2, IVH_AVRI_90_0.2, GLCM_clusShade_0.2, GLSZM_LILAE_0.2, IVH_RVRI_90_0.2, Histology"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.1,9,0.58,0.36,0.27,0.41,"Age, Stats_skewness_0.1, GLSZM_SZV_0.1, IVH_AVRI_90_0.1, IVH_RVRI_10_0.1, GLCM_clusProm_0.1, IH_skewness_0.1, IVH_RVRI_70_0.1, Histology"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBW,0.05,10,0.64,0.4,0.36,0.42,"Age, GLSZM_LAE_0.05, GLSZM_SZV_0.05, IVH_AVRI_90_0.05, GLCM_clusProm_0.05, IVH_RVRI_10_0.05, Stats_skewness_0.05, IVH_RVRI_90_0.05, IH_maxGrad_0.05, GLDZM_INN_0.05"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBN,64,10,0.69,0.42,0.39,0.43,"Age, GLCM_clusShade_64, IH_minGradI_64, IVH_RVRI_10_64, Stats_skewness_64, IVH_AVRI_90_64, NGTDM_busyness_64, IVH_RVRI_70_64, Histology, Stats_var_64"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Clinical,FBN,32,10,0.69,0.22,0.22,0.22,"Age, GLSZM_LILAE_32, GLCM_clusShade_32, IVH_AVRI_90_32, IVH_RVRI_10_32, Stats_skewness_32, IVH_RVRI_70_32, NGTDM_busyness_32, Histology, IVH_AVRI_80_32"
